IP	File_name	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Endpoint_timestamp	Start_time	End_time	Bias_data_quality	Bias_min_I	Bias_max_I	Vbd_bias(DAC)	Vbd_bias(V)	Vbd_bias_error(V)	Bias_conversion_slope	Bias_conversion_intercept	Trim_data_quality	Trim_min_I	Trim_max_I	Fit_status	Poly_Vbd_trim(DAC)	Poly_Vbd_trim_error(DAC)	Pulse_Vbd_trim(DAC)	Pulse_Vbd_trim_error(DAC)	Vbd(V)	Vbd_error(V)
10.73.137.109	apa_2_afe_0_ch_0.root	2	0	0	0	FBK	May-17-2024_run00	May-17-2024_1911	May-17-2024_1912	May-17-2024_1915	Good	0.015	0.766	710	28.561	0.034	0.03903	0.850	Good	-0.091	0.358	Only polyfit	797	146	nan	nan	27.705	0.161
10.73.137.109	apa_2_afe_0_ch_1.root	2	0	1	1	FBK	May-17-2024_run00	May-17-2024_1911	May-17-2024_1915	May-17-2024_1919	Good	0.017	0.498	720	28.950	0.028	0.03908	0.812	Good	-0.088	0.389	Only polyfit	1452	233	nan	nan	27.390	0.252
10.73.137.109	apa_2_afe_0_ch_2.root	2	0	2	2	FBK	May-17-2024_run00	May-17-2024_1911	May-17-2024_1919	May-17-2024_1923	Good	0.017	0.186	720	28.960	0.042	0.03914	0.779	Good	-0.091	0.621	Only polyfit	1222	432	nan	nan	27.648	0.466
10.73.137.109	apa_2_afe_0_ch_3.root	2	0	3	3	FBK	May-17-2024_run00	May-17-2024_1911	May-17-2024_1923	May-17-2024_1926	Good	0.013	0.245	720	28.956	0.048	0.03910	0.800	Good	-0.087	0.281	Only polyfit	1498	55	nan	nan	27.346	0.076
10.73.137.109	apa_2_afe_0_ch_4.root	2	0	4	4	FBK	May-17-2024_run00	May-17-2024_1911	May-17-2024_1926	May-17-2024_1930	Good	0.015	0.144	720	28.960	0.037	0.03914	0.782	Good	-0.092	0.244	Only polyfit	1280	502	nan	nan	27.584	0.540
10.73.137.109	apa_2_afe_0_ch_5.root	2	0	5	5	FBK	May-17-2024_run00	May-17-2024_1911	May-17-2024_1930	May-17-2024_1934	Good	0.014	0.284	720	28.950	0.051	0.03905	0.833	Good	-0.083	0.333	Only polyfit	1428	201	nan	nan	27.416	0.222
10.73.137.109	apa_2_afe_0_ch_6.root	2	0	6	6	FBK	May-17-2024_run00	May-17-2024_1911	May-17-2024_1934	May-17-2024_1937	Good	0.017	0.226	720	28.946	0.034	0.03908	0.812	Good	-0.088	0.158	Only polyfit	1061	192	nan	nan	27.806	0.209
10.73.137.109	apa_2_afe_0_ch_7.root	2	0	7	7	FBK	May-17-2024_run00	May-17-2024_1911	May-17-2024_1938	May-17-2024_1941	Good	0.013	0.205	720	28.951	0.045	0.03906	0.830	Good	-0.084	0.423	Only polyfit	1444	184	nan	nan	27.399	0.202
10.73.137.109	apa_2_afe_1_ch_8.root	2	1	8	10	FBK	May-17-2024_run00	May-17-2024_1911	May-17-2024_1941	May-17-2024_1945	BAD(dead channel or wrong bias range)	0.017	0.024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_9.root	2	1	9	11	FBK	May-17-2024_run00	May-17-2024_1911	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_10.root	2	1	10	12	FBK	May-17-2024_run00	May-17-2024_1911	May-17-2024_1945	May-17-2024_1949	Good	0.016	0.049	720	28.075	0.039	0.03946	-0.333	Good	-0.082	0.060	Only polyfit	1021	130	nan	nan	26.978	0.145
10.73.137.109	apa_2_afe_1_ch_11.root	2	1	11	13	FBK	May-17-2024_run00	May-17-2024_1911	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_12.root	2	1	12	14	FBK	May-17-2024_run00	May-17-2024_1911	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_13.root	2	1	13	15	FBK	May-17-2024_run00	May-17-2024_1911	May-17-2024_1949	May-17-2024_1953	Good	0.015	0.090	720	28.080	0.034	0.03944	-0.314	Good	-0.086	0.072	Only polyfit	340	60	nan	nan	27.715	0.073
10.73.137.109	apa_2_afe_1_ch_14.root	2	1	14	16	FBK	May-17-2024_run00	May-17-2024_1911	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_15.root	2	1	15	17	FBK	May-17-2024_run00	May-17-2024_1911	May-17-2024_1953	May-17-2024_1957	BAD(dead channel or wrong bias range)	0.016	0.023	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_2_ch_16.root	2	2	16	20	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_1957	May-17-2024_2000	Good	0.015	0.842	1080	42.428	0.041	0.03920	0.095	Good	-0.093	0.489	Only polyfit	638	45	nan	nan	41.742	0.063
10.73.137.109	apa_2_afe_2_ch_17.root	2	2	17	21	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2000	May-17-2024_2004	Good	0.015	1.287	1100	43.206	0.058	0.03915	0.137	Good	-0.083	0.381	Only polyfit	1192	103	nan	nan	41.925	0.125
10.73.137.109	apa_2_afe_2_ch_18.root	2	2	18	22	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2004	May-17-2024_2008	Good	0.016	2.077	1100	43.198	0.051	0.03908	0.210	Good	-0.091	1.261	Only polyfit	1206	115	nan	nan	41.903	0.134
10.73.137.109	apa_2_afe_2_ch_19.root	2	2	19	23	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2008	May-17-2024_2012	Good	0.015	1.502	1120	43.994	0.045	0.03917	0.119	Good	-0.093	1.473	Only polyfit	1490	259	nan	nan	42.393	0.282
10.73.137.109	apa_2_afe_2_ch_20.root	2	2	20	24	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2012	May-17-2024_2015	Good	0.015	0.736	1090	42.817	0.056	0.03916	0.128	Good	-0.092	0.229	Only polyfit	372	19	nan	nan	42.417	0.059
10.73.137.109	apa_2_afe_2_ch_21.root	2	2	21	25	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2016	May-17-2024_2019	Good	0.013	0.635	1120	43.986	0.052	0.03913	0.165	Good	-0.087	2.099	Only polyfit	1823	241	nan	nan	42.028	0.264
10.73.137.109	apa_2_afe_2_ch_22.root	2	2	22	26	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2019	May-17-2024_2023	Good	0.014	0.387	1120	43.991	0.055	0.03916	0.137	Good	-0.086	1.473	Only polyfit	1632	130	nan	nan	42.237	0.150
10.73.137.109	apa_2_afe_2_ch_23.root	2	2	23	27	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2023	May-17-2024_2027	Good	0.012	0.559	1120	43.985	0.040	0.03911	0.179	Good	-0.088	1.783	Only polyfit	1776	283	nan	nan	42.077	0.306
10.73.137.109	apa_2_afe_3_ch_24.root	2	3	24	30	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2027	May-17-2024_2031	Good	0.018	0.635	1120	43.934	0.043	0.03891	0.350	Good	-0.083	2.468	Only polyfit	2058	181	nan	nan	41.723	0.199
10.73.137.109	apa_2_afe_3_ch_25.root	2	3	25	31	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2031	May-17-2024_2035	Good	0.014	0.459	1120	43.950	0.036	0.03900	0.266	Good	-0.089	1.064	Only polyfit	1295	253	nan	nan	42.558	0.274
10.73.137.109	apa_2_afe_3_ch_26.root	2	3	26	32	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2035	May-17-2024_2038	Good	0.015	0.686	1120	43.946	0.043	0.03895	0.317	Good	-0.080	2.957	Only polyfit	1924	1168	nan	nan	41.878	1.255
10.73.137.109	apa_2_afe_3_ch_27.root	2	3	27	33	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2038	May-17-2024_2042	Good	0.014	0.584	1120	43.945	0.037	0.03895	0.320	Good	-0.083	1.221	Only polyfit	1914	281	nan	nan	41.889	0.305
10.73.137.109	apa_2_afe_3_ch_28.root	2	3	28	34	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2042	May-17-2024_2046	Good	0.014	0.475	1120	43.944	0.040	0.03900	0.266	Good	-0.090	0.998	Only polyfit	1549	55	nan	nan	42.280	0.072
10.73.137.109	apa_2_afe_3_ch_29.root	2	3	29	35	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2046	May-17-2024_2050	Good	0.018	0.940	1120	43.962	0.048	0.03909	0.184	Good	-0.086	1.672	Only polyfit	1970	127	nan	nan	41.846	0.145
10.73.137.109	apa_2_afe_3_ch_30.root	2	3	30	36	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2050	May-17-2024_2054	Good	0.016	0.385	1120	43.948	0.031	0.03900	0.264	Good	-0.091	1.019	Only polyfit	1413	200	nan	nan	42.430	0.217
10.73.137.109	apa_2_afe_3_ch_31.root	2	3	31	37	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2054	May-17-2024_2057	Good	0.016	0.719	1090	42.775	0.051	0.03893	0.340	Good	-0.087	0.271	Only polyfit	1028	135	nan	nan	41.670	0.154
10.73.137.109	apa_2_afe_4_ch_32.root	2	4	32	40	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2057	May-17-2024_2101	Good	0.016	0.869	1090	43.878	0.054	0.03937	0.969	Good	-0.084	1.182	Only polyfit	2009	238	nan	nan	41.720	0.262
10.73.137.109	apa_2_afe_4_ch_33.root	2	4	33	41	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2101	May-17-2024_2105	Good	0.013	0.440	1090	43.870	0.054	0.03934	0.986	Good	-0.077	0.737	Only polyfit	2237	330	nan	nan	41.467	0.359
10.73.137.109	apa_2_afe_4_ch_34.root	2	4	34	42	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2105	May-17-2024_2109	Good	0.017	0.626	1090	43.878	0.055	0.03941	0.918	Good	-0.088	0.746	Only polyfit	1526	249	nan	nan	42.239	0.273
10.73.137.109	apa_2_afe_4_ch_35.root	2	4	35	43	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2109	May-17-2024_2112	Good	0.014	0.519	1090	43.879	0.059	0.03938	0.958	Good	-0.086	0.439	Only polyfit	1756	153	nan	nan	41.993	0.175
10.73.137.109	apa_2_afe_4_ch_36.root	2	4	36	44	HPK	May-17-2024_run00	May-17-2024_1911	May-17-2024_2112	May-17-2024_2116	Good	0.013	0.316	1090	43.871	0.044	0.03933	0.999	Good	-0.089	0.744	Only polyfit	1598	156	nan	nan	42.154	0.173
