IP	File_name	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Endpoint_timestamp	Start_time	End_time	Bias_data_quality	Bias_min_I	Bias_max_I	Vbd_bias(DAC)	Vbd_bias(V)	Vbd_bias_error(V)	Bias_conversion_slope	Bias_conversion_intercept	Trim_data_quality	Trim_min_I	Trim_max_I	Fit_status	Poly_Vbd_trim(DAC)	Poly_Vbd_trim_error(DAC)	Pulse_Vbd_trim(DAC)	Pulse_Vbd_trim_error(DAC)	Vbd(V)	Vbd_error(V)
10.73.137.104	apa_1_afe_0_ch_0.root	1	0	0	0	FBK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_1937	Jul-29-2024_1941	Good	0.082	0.497	710	29.396	0.049	0.03932	1.476	Good	-0.013	0.465	Only polyfit	1818	136	nan	nan	27.443	0.154
10.73.137.104	apa_1_afe_0_ch_1.root	1	0	1	1	FBK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_1941	Jul-29-2024_1945	Good	0.077	0.583	720	29.804	0.043	0.03940	1.438	Good	-0.018	0.510	Only polyfit	1970	189	nan	nan	27.687	0.207
10.73.137.104	apa_1_afe_0_ch_2.root	1	0	2	2	FBK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_1945	Jul-29-2024_1948	Good	0.080	0.438	700	28.997	0.033	0.03925	1.519	Good	-0.016	0.378	Only polyfit	1422	166	nan	nan	27.469	0.181
10.73.137.104	apa_1_afe_0_ch_3.root	1	0	3	3	FBK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_1948	Jul-29-2024_1952	Good	0.080	0.518	710	29.386	0.048	0.03930	1.484	Good	-0.021	0.403	Only polyfit	1685	198	nan	nan	27.576	0.218
10.73.137.104	apa_1_afe_0_ch_4.root	1	0	4	4	FBK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_1952	Jul-29-2024_1956	Good	0.076	0.432	700	29.006	0.057	0.03941	1.421	Good	-0.017	0.413	Only polyfit	1536	141	nan	nan	27.356	0.162
10.73.137.104	apa_1_afe_0_ch_5.root	1	0	5	5	FBK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_1956	Jul-29-2024_1959	Good	0.083	0.476	710	29.398	0.047	0.03932	1.484	Good	-0.018	0.449	Only polyfit	1813	282	nan	nan	27.449	0.306
10.73.137.104	apa_1_afe_0_ch_6.root	1	0	6	6	FBK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_1959	Jul-29-2024_2003	Good	0.078	0.505	710	29.390	0.030	0.03925	1.523	Good	-0.014	0.534	Only polyfit	1802	276	nan	nan	27.454	0.299
10.73.137.104	apa_1_afe_0_ch_7.root	1	0	7	7	FBK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_2003	Jul-29-2024_2007	Good	0.080	0.564	720	29.793	0.042	0.03939	1.434	Good	-0.012	0.540	Only polyfit	2031	452	nan	nan	27.610	0.487
10.73.137.104	apa_1_afe_1_ch_8.root	1	1	8	10	HPK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_2007	Jul-29-2024_2011	Good	0.081	0.885	1090	43.174	0.045	0.03932	0.312	Good	-0.027	0.910	Only polyfit	1268	101	nan	nan	41.812	0.117
10.73.137.104	apa_1_afe_1_ch_9.root	1	1	9	11	HPK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_2011	Jul-29-2024_2014	Good	0.079	0.660	1090	43.168	0.045	0.03924	0.398	Good	-0.024	0.692	Only polyfit	1339	198	nan	nan	41.729	0.217
10.73.137.104	apa_1_afe_1_ch_10.root	1	1	10	12	HPK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_2014	Jul-29-2024_2018	Good	0.078	0.834	1090	43.174	0.052	0.03932	0.311	Good	-0.023	0.895	Only polyfit	1319	202	nan	nan	41.757	0.224
10.73.137.104	apa_1_afe_1_ch_11.root	1	1	11	13	HPK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_2018	Jul-29-2024_2022	Good	0.080	0.697	1090	43.167	0.045	0.03926	0.372	Good	-0.025	0.787	Only polyfit	1392	236	nan	nan	41.672	0.257
10.73.137.104	apa_1_afe_1_ch_12.root	1	1	12	14	HPK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_2022	Jul-29-2024_2025	Good	0.080	0.714	1090	43.182	0.047	0.03936	0.281	Good	-0.027	0.775	Only polyfit	1302	132	nan	nan	41.783	0.149
10.73.137.104	apa_1_afe_1_ch_13.root	1	1	13	15	HPK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_2026	Jul-29-2024_2029	Good	0.081	0.756	1090	43.160	0.052	0.03918	0.456	Good	-0.032	0.788	Only polyfit	1285	136	nan	nan	41.779	0.155
10.73.137.104	apa_1_afe_1_ch_14.root	1	1	14	16	HPK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_2029	Jul-29-2024_2033	Good	0.080	0.752	1090	43.174	0.041	0.03932	0.314	Good	-0.029	0.652	Only polyfit	1249	108	nan	nan	41.832	0.123
10.73.137.104	apa_1_afe_1_ch_15.root	1	1	15	17	HPK	Jul-29-2024-run00	Jul-29-2024_1937	Jul-29-2024_2033	Jul-29-2024_2037	Good	0.081	0.748	1090	43.173	0.048	0.03930	0.332	Good	-0.025	0.805	Only polyfit	1342	122	nan	nan	41.731	0.140
