IP	File_name	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Endpoint_timestamp	Start_time	End_time	Bias_data_quality	Bias_min_I	Bias_max_I	Vbd_bias(DAC)	Vbd_bias(V)	Vbd_bias_error(V)	Bias_conversion_slope	Bias_conversion_intercept	Trim_data_quality	Trim_min_I	Trim_max_I	Fit_status	Poly_Vbd_trim(DAC)	Poly_Vbd_trim_error(DAC)	Pulse_Vbd_trim(DAC)	Pulse_Vbd_trim_error(DAC)	Vbd(V)	Vbd_error(V)
10.73.137.109	apa_2_afe_0_ch_0.root	2	0	0	0	FBK	May-28-2024_run00	May-28-2024_1941	May-28-2024_1941	May-28-2024_1945	Good	0.016	0.150	720	28.925	0.037	0.03914	0.745	Good	-0.092	0.270	Only polyfit	1410	79	nan	nan	27.411	0.093
10.73.137.109	apa_2_afe_0_ch_1.root	2	0	1	1	FBK	May-28-2024_run00	May-28-2024_1941	May-28-2024_1945	May-28-2024_1948	Good	0.016	0.240	720	28.929	0.033	0.03923	0.687	Good	-0.092	0.437	Only polyfit	1351	164	nan	nan	27.478	0.179
10.73.137.109	apa_2_afe_0_ch_2.root	2	0	2	2	FBK	May-28-2024_run00	May-28-2024_1941	May-28-2024_1948	May-28-2024_1952	Good	0.015	0.168	720	28.924	0.047	0.03916	0.727	Good	-0.093	0.546	Only polyfit	1253	150	nan	nan	27.578	0.168
10.73.137.109	apa_2_afe_0_ch_3.root	2	0	3	3	FBK	May-28-2024_run00	May-28-2024_1941	May-28-2024_1952	May-28-2024_1956	Good	0.015	0.212	720	28.931	0.041	0.03919	0.714	Good	-0.092	0.419	Only polyfit	1358	137	nan	nan	27.471	0.153
10.73.137.109	apa_2_afe_0_ch_4.root	2	0	4	4	FBK	May-28-2024_run00	May-28-2024_1941	May-28-2024_1956	May-28-2024_2000	Good	0.014	0.128	720	28.919	0.041	0.03908	0.782	Good	-0.088	0.232	Only polyfit	1270	337	nan	nan	27.554	0.364
10.73.137.109	apa_2_afe_0_ch_5.root	2	0	5	5	FBK	May-28-2024_run00	May-28-2024_1941	May-28-2024_2000	May-28-2024_2003	Good	0.013	0.956	720	28.919	0.041	0.03909	0.775	Good	-0.084	0.381	Only polyfit	1418	143	nan	nan	27.396	0.159
10.73.137.109	apa_2_afe_0_ch_6.root	2	0	6	6	FBK	May-28-2024_run00	May-28-2024_1941	May-28-2024_2003	May-28-2024_2007	Good	0.014	0.125	720	28.925	0.044	0.03917	0.722	Good	-0.088	0.211	Only polyfit	1209	99	nan	nan	27.627	0.116
10.73.137.109	apa_2_afe_0_ch_7.root	2	0	7	7	FBK	May-28-2024_run00	May-28-2024_1941	May-28-2024_2007	May-28-2024_2011	Good	0.015	0.227	720	28.910	0.040	0.03903	0.811	Good	-0.085	0.501	Only polyfit	1475	160	nan	nan	27.326	0.177
10.73.137.109	apa_2_afe_1_ch_8.root	2	1	8	10	FBK	May-28-2024_run00	May-28-2024_1941	May-28-2024_2011	May-28-2024_2015	BAD(dead channel or wrong bias range)	0.016	0.023	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_9.root	2	1	9	11	FBK	May-28-2024_run00	May-28-2024_1941	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
